year,brand,title,youtube_url,funny,show_product_quickly,patriotic,celebrity,danger,animals,use_sex,view_count,like_count,dislike_count,comment_count
2002,Budweiser,Budweiser True Cards,https://www.youtube.com/watch?v=LnU2T2P1oxA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,13245,49,3,0
2006,Budweiser,"Super Bowl 2006: Budweiser ""The Wave""",https://www.youtube.com/watch?v=4WeAvfP1ikU,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,85274,78,16,10
2014,Bud Light,Bud Light Super Bowl 2014 Commercial - FULL VERSION,https://www.youtube.com/watch?v=PnOW5qj_R6A,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,134186,405,27,29
2009,Coca-Cola,Coca-Cola Avatar,https://www.youtube.com/watch?v=Kwke0LNardc,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1452877,3511,296,523
2014,Bud Light,NA,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,NA,NA,NA
2003,Bud Light,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA
2014,Toyota,Toyota Highlander - Big Game Ad Starring Terry Crews and the Muppets 2014,https://www.youtube.com/watch?v=b01P9PaaoLk,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,25834,140,5,18
2009,Bud Light,Bud Light - Skier Super Bowl XLIII Commercial 2009,https://www.youtube.com/watch?v=LEVQAU_LITI,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,30123,33,2,6
2014,Kia,'The Truth'   Official Kia Quoris Morpheus Big Game Commercial 2014,https://www.youtube.com/watch?v=FTNMYoKHwvU,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,17209,198,2,10
2014,Hynudai,Nice - Hyundai Elantra - Super Bowl Commercial 2014,https://www.youtube.com/watch?v=2jMWybAKjWw,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,1874,20,0,0
2013,Bud Light,Super Bowl XLVII - Bud Light: The Lucky Chair (2013),https://www.youtube.com/watch?v=7HMTkEMdqBQ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,546,NA,NA,0
2008,Bud Light,Bud Light Wheel Suck Commercial,https://www.youtube.com/watch?v=WX8Du9pusdA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,598260,755,54,83
2003,Budweiser,Budweiser great listener,https://www.youtube.com/watch?v=zx4SnN9HuRw,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,27378,18,2,0
2013,Bud Light,Super Bowl Ad 2013 Bud Light Journey Stevie Wonder,https://www.youtube.com/watch?v=leptS7k6sLE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,394,1,0,0
2011,Doritos,Doritos pug attack commercial original,https://www.youtube.com/watch?v=1A6frF5zfDE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,122388,561,8,25
2005,Bud Light,Bud Light Legends - Skydiver,https://www.youtube.com/watch?v=Y9wyIID8Khs,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,16997,69,3,2
2005,Budweiser,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA
2014,Doritos,Doritos Time Machine - Crash the Super Bowl 2014 WINNER OFFICIAL,https://www.youtube.com/watch?v=Y-P0Hs0ADJY,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,7952240,18729,1430,607
2008,Bud Light,Bud Light Wine & Cheese Party Commercial,https://www.youtube.com/watch?v=aEWtTVaIH0M,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,555734,414,58,45
2012,Pepsi,Super Bowl 2012 Commercial: Pepsi - King's Court,https://www.youtube.com/watch?v=3rZs8ZKTsp0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,582575,1526,138,304
2012,Doritos,Doritos Crash the Superbowl Winner 2012 - Man's Best Friend,https://www.youtube.com/watch?v=kMmd0WaQFGE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,86928,130,12,6
2012,Toyota,Toyota Camry 2012 Super Bowl Commercial shows Reinvented Possibilities,https://www.youtube.com/watch?v=oYdJKey7VpU,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,116294,1153,13,56
2016,Doritos,NA,https://www.youtube.com/watch?v=Qh_gOK6xDNA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA
2002,Bud Light,Bud Light - Hawk Superbowl XXXVI Commercial,https://www.youtube.com/watch?v=ZBD4dYTpYAU,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3548,13,0,0
2002,Bud Light,Bud Light Battle Bot commercial,https://www.youtube.com/watch?v=oJvsWvaTr4w,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,63129,178,5,15
